EVENT_ID,EVENT_YEAR,EVENT_DATE,EVENT_COUNTRY,EVENT_REGION,EVENT_CITY,ATTACK_SUCCESS_FLG,ATTACK_SUICIDE_FLG,TARGET_1_TYPE,TARGET_1_SUBTYPE,TARGET_1_GROUP_NAME,TARGET_1_NAME,TARGET_1_NATIONALITY,TARGET_2_TYPE,TARGET_2_SUBTYPE,TARGET_2_GROUP_NAME,TARGET_2_NAME,TARGET_2_NATIONALITY,TARGET_3_TYPE,TARGET_3_SUBTYPE,TARGET_3_GROUP_NAME,TARGET_3_NAME,TARGET_3_NATIONALITY,PERP_1_GROUP_NAME,PERP_1_SUBGROUP_NAME,PERP_2_GROUP_NAME,PERP_2_SUBGROUP_NAME,PERP_3_GROUP_NAME,PERP_3_SUBGROUP_NAME,PERP_TOTAL,PERP_TOTAL_GROUP,PERP_CUSTODY_TOTAL,PERP_CUSTODY_TOTAL_GROUP,PERP_CLAIMED_RESPONSIBILITY_FLG,PERP_CLAIM_MODE,WEAPON_1_TYPE,WEAPON_1_SUBTYPE,WEAPON_2_TYPE,WEAPON_2_SUBTYPE,WEAPON_3_TYPE,WEAPON_3_SUBTYPE,WEAPON_4_TYPE,WEAPON_4_SUBTYPE,WEAPON_DETAIL,KILLED_TOTAL,KILLED_TOTAL_GROUP,KILLED_US_TOTAL,KILLED_US_TOTAL_GROUP,KILLED_PERP_TOTAL,KILLED_PERP_TOTAL_GROUP,WOUNDED_TOTAL,WOUNDED_TOTAL_GROUP,WOUNDED_US_TOTAL,WOUNDED_US_TOTAL_GROUP,WOUNDED_PERP_TOTAL,WOUNDED_PERP_TOTAL_GROUP,PROPERTY_DAMAGE_RANGE,PROPERTY_DAMAGE_VALUE,PROPERTY_DAMAGE_DETAIL,HOSTAGE_FLG,HOSTAGE_TOTAL,HOSTAGE_TOTAL_GROUP,HOSTAGE_US_TOTAL,HOSTAGE_US_TOTAL_GROUP,HOSTAGE_RELEASED_TOTAL,HOSTAGE_RELEASED_TOTAL_GROUP,HOSTAGE_OUTCOME_DETAIL,DIVERSION_DESTINATION_COUNTRY,RESOLUTION_DESTINATION_COUNTRY,RANSOM_FLG,RANSOM_DEMANDED,RANSOM_DEMANDED_US,RANSOM_PAID,RANSOM_PAID_US,PERP_COUNTRY_ATTACK_COUNTRY_DIFFERENCE_FLG,PERP_NATIONALITY_TARGET_NATIONALITY_DIFFERENCE_FLG,TARGET_NATIONALITY_ATTACK_COUNTRY_DIFFERENCE_FLG,NATIONALITY_OR_COUNTRY_DIFFERENCE_FLG,ETL_TIMESTAMP
1.97E+11,1970,00:00.0,Italy,Western Europe,Rome,1,0,Airports & Aircraft,Aircraft (not at an airport),Trans World Airline,Flight 802 Boeing 707,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,Firearms,Rifle/Shotgun (non-automatic),Firearms,Handgun,NULL,NULL,NULL,NULL,Rifle - carbine; Pistols,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,Hostage(s) released by perpetrators,Beirut,Beirut,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x000000000000093D
1.97E+11,1970,00:00.0,United States,North America,Long Beach,1,0,Military,Military Maritime,US Military,SS Columbia Eagle,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Left-Wing Militants,NULL,NULL,NULL,NULL,NULL,2,0,1,0,0,NULL,Firearms,Handgun,Fake Weapons,Handgun,NULL,NULL,NULL,NULL,"Semiautomatic pistol, revolver, and fake bomb",0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,13,10,13,10,NULL,NULL,Hostage(s) released by perpetrators,Cambodia,Cambodia,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0x000000000000093E
1.97E+11,1970,00:00.0,Japan,East Asia,Fukouka,1,0,Airports & Aircraft,Aircraft (not at an airport),Japan Airlines,Boeing 727,Japan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Japanese Red Army (JRA),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,Melee,Knife or Other Sharp Object,NULL,Knife or Other Sharp Object,NULL,NULL,Swords; Bomb; Knives,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,129,130,0,0,NULL,NULL,Hostage(s) released by perpetrators,South Korea,South Korea,0,NULL,NULL,NULL,NULL,0,1,0,1,0x000000000000093F
1.97E+11,1970,00:00.0,Brazil,South America,Rio de Janeiro,0,0,Airports & Aircraft,Aircraft (not at an airport),Cruzeiro do Sul,Caravelle,Brazil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,Successful Rescue,NULL,Brazil,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0x0000000000000940
1.97E+11,1970,00:00.0,Greece,Western Europe,Athens,1,0,Airports & Aircraft,Aircraft (not at an airport),Olympic Airlines,passenger jet,Greece,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Arabs,NULL,NULL,NULL,NULL,NULL,6,10,NULL,NULL,NULL,NULL,Firearms,Automatic or Semi-Automatic Rifle,Explosives,Grenade,NULL,NULL,NULL,NULL,Automatic firearms; Grenades,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,55,60,0,0,NULL,NULL,Hostage(s) released by perpetrators,NULL,Greece,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0x0000000000000941
1.97E+11,1970,00:00.0,West Germany (FRG),Western Europe,Frankfurt,1,0,Airports & Aircraft,Aircraft (not at an airport),Trans World Airline,Flight 741 Boeing 707,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Popular Front for the Liberation of Palestine (PFLP),NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Explosives,Grenade,Firearms,Unknown Gun Type,NULL,NULL,NULL,NULL,Grenades; Firearms,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,155,160,NULL,NULL,155,160,Hostage(s) released by perpetrators,Jordan,Jordan,0,NULL,NULL,NULL,NULL,0,1,1,1,0x0000000000000942
1.97E+11,1970,00:00.0,Switzerland,Western Europe,Zurich,1,0,Airports & Aircraft,Aircraft (not at an airport),Swiss Air,Flight 100 DC-8,Switzerland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Popular Front for the Liberation of Palestine (PFLP),NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,155,160,0,0,155,160,Hostage(s) released by perpetrators,Jordan,Jordan,0,NULL,NULL,NULL,NULL,0,1,0,1,0x0000000000000943
1.97E+11,1970,00:00.0,Netherlands,Western Europe,Amsterdam,1,0,Airports & Aircraft,Aircraft (not at an airport),Pan American Airlines,Flight 93 747,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Popular Front for the Liberation of Palestine (PFLP),NULL,NULL,NULL,NULL,NULL,9,10,NULL,NULL,NULL,NULL,Firearms,Handgun,Explosives,Grenade,NULL,NULL,NULL,NULL,Pistols; Grenade,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,175,180,0,0,175,180,Hostage(s) released by perpetrators,Egypt,Egypt,0,NULL,NULL,NULL,NULL,0,1,1,1,0x0000000000000944
1.97E+11,1970,00:00.0,Netherlands,Western Europe,Amsterdam,0,0,Airports & Aircraft,Aircraft (not at an airport),El Al,Flight 219,Israel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Popular Front for the Liberation of Palestine (PFLP),NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Firearms,Handgun,Explosives,Grenade,NULL,NULL,NULL,NULL,Pistols; Grenades,1,0,0,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) escaped (not during rescue attempt),England,England,0,NULL,NULL,NULL,NULL,0,0,1,1,0x0000000000000945
1.97E+11,1970,00:00.0,United States,North America,New York City,0,0,Airports & Aircraft,Aircraft (not at an airport),NULL,United Arab Republic airliner,International,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jewish Defense League (JDL),NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,Firearms,Unknown Gun Type,Unknown,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,Arrested before boarding,Arrested before boarding,0,NULL,NULL,NULL,NULL,0,1,1,1,0x0000000000000946
